comparison_type,comparison_id,a_label,b_label,block_hours,clusters,replicates,metric,a_estimate,b_estimate,delta_estimate,delta_ci_low,delta_ci_high,pair_delta_ci_low,pair_delta_ci_high
method_difference,xgboost_matched_minus_flattened,primary__matched_flow_stats__xgboost__train_inner,primary__flattened_splt__xgboost__train_inner,1,82,1000,macro_f1,0.791836985604457,0.650659858277756,0.141177127326701,0.124244245644998,0.156142950096409,0.134592537394003,0.148394800975752
method_difference,xgboost_matched_minus_flattened,primary__matched_flow_stats__xgboost__train_inner,primary__flattened_splt__xgboost__train_inner,2,42,1000,macro_f1,0.791836985604457,0.650659858277756,0.141177127326701,0.123746986910734,0.155162034261496,0.134592537394003,0.148394800975752
method_difference,xgboost_prefix_minus_full,primary__prefix_stats__xgboost__train_inner,primary__matched_flow_stats__xgboost__train_inner,1,82,1000,balanced_accuracy,0.795862809485527,0.802915323803521,-0.00705251431799436,-0.011881282466574,-0.00207247233484975,-0.0113161411651964,-0.0029460582138259
method_difference,xgboost_prefix_minus_full,primary__prefix_stats__xgboost__train_inner,primary__matched_flow_stats__xgboost__train_inner,2,42,1000,balanced_accuracy,0.795862809485527,0.802915323803521,-0.00705251431799436,-0.0120685985805031,-0.00171168448769377,-0.0113161411651964,-0.0029460582138259
method_difference,xgboost_prefix_minus_full,primary__prefix_stats__xgboost__train_inner,primary__matched_flow_stats__xgboost__train_inner,1,82,1000,macro_f1,0.786994602065451,0.791836985604457,-0.0048423835390069,-0.00867940961666183,-0.000775805200227928,-0.0083196793159141,-0.0015172956508525
method_difference,xgboost_prefix_minus_full,primary__prefix_stats__xgboost__train_inner,primary__matched_flow_stats__xgboost__train_inner,2,42,1000,macro_f1,0.786994602065451,0.791836985604457,-0.0048423835390069,-0.00884323435455581,-0.000968910712377546,-0.0083196793159141,-0.0015172956508525
view_gap,primary__flattened_splt__random_forest__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.548640566667396,0.947372753423236,-0.39873218675584,-0.409243085387995,-0.386162407085843,-0.405280257714676,-0.392808970610963
view_gap,primary__flattened_splt__random_forest__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.548640566667396,0.947372753423236,-0.39873218675584,-0.409349412539693,-0.386956408281716,-0.405280257714676,-0.392808970610963
view_gap,primary__flattened_splt__random_forest__train_inner,outer,inner,1,82,1000,macro_f1,0.579836717675086,0.937563928219637,-0.357727210544551,-0.371675474261153,-0.342045884219586,-0.364578066086113,-0.35143746179917
view_gap,primary__flattened_splt__random_forest__train_inner,outer,inner,2,42,1000,macro_f1,0.579836717675086,0.937563928219637,-0.357727210544551,-0.370403502382211,-0.344329086134947,-0.364578066086113,-0.35143746179917
view_gap,primary__flattened_splt__xgboost__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.611205199548628,0.965615879026373,-0.354410679477745,-0.366060751848513,-0.34181348409732,-0.360915158736194,-0.347465716761727
view_gap,primary__flattened_splt__xgboost__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.611205199548628,0.965615879026373,-0.354410679477745,-0.367672714121795,-0.341644109078662,-0.360915158736194,-0.347465716761727
view_gap,primary__flattened_splt__xgboost__train_inner,outer,inner,1,82,1000,macro_f1,0.650659858277756,0.962417708055608,-0.311757849777852,-0.325756383328465,-0.298296400132368,-0.31820300315339,-0.304890901249601
view_gap,primary__flattened_splt__xgboost__train_inner,outer,inner,2,42,1000,macro_f1,0.650659858277756,0.962417708055608,-0.311757849777852,-0.326766708974506,-0.298094764008716,-0.31820300315339,-0.304890901249601
view_gap,primary__matched_flow_stats__random_forest__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.778190435892195,0.923559200136653,-0.145368764244458,-0.154933156491542,-0.137338509147656,-0.150274556055181,-0.14060388366185
view_gap,primary__matched_flow_stats__random_forest__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.778190435892195,0.923559200136653,-0.145368764244458,-0.155833071180796,-0.137002132148535,-0.150274556055181,-0.14060388366185
view_gap,primary__matched_flow_stats__random_forest__train_inner,outer,inner,1,82,1000,macro_f1,0.77532870741754,0.912008700768123,-0.136679993350584,-0.146537022914445,-0.128709085351435,-0.141136055437373,-0.132594003306452
view_gap,primary__matched_flow_stats__random_forest__train_inner,outer,inner,2,42,1000,macro_f1,0.77532870741754,0.912008700768123,-0.136679993350584,-0.146988807906904,-0.129295768232456,-0.141136055437373,-0.132594003306452
view_gap,primary__matched_flow_stats__xgboost__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.802915323803521,0.936652512678936,-0.133737188875414,-0.139817780188972,-0.12829291138134,-0.138131690530956,-0.129452821224476
view_gap,primary__matched_flow_stats__xgboost__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.802915323803521,0.936652512678936,-0.133737188875414,-0.141367664496819,-0.127662826318312,-0.138131690530956,-0.129452821224476
view_gap,primary__matched_flow_stats__xgboost__train_inner,outer,inner,1,82,1000,macro_f1,0.791836985604457,0.913916404883808,-0.12207941927935,-0.128994207087998,-0.11668191942265,-0.125850113174423,-0.118590662867351
view_gap,primary__matched_flow_stats__xgboost__train_inner,outer,inner,2,42,1000,macro_f1,0.791836985604457,0.913916404883808,-0.12207941927935,-0.130026937469762,-0.115688350129431,-0.125850113174423,-0.118590662867351
view_gap,primary__prefix_stats__random_forest__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.778106167552795,0.92247988439893,-0.144373716846135,-0.153573455984895,-0.136319781796179,-0.149397258836863,-0.13922262421357
view_gap,primary__prefix_stats__random_forest__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.778106167552795,0.92247988439893,-0.144373716846135,-0.154854774640543,-0.136276855273108,-0.149397258836863,-0.13922262421357
view_gap,primary__prefix_stats__random_forest__train_inner,outer,inner,1,82,1000,macro_f1,0.776779550659428,0.910324840036297,-0.133545289376869,-0.143608919132555,-0.125620328253271,-0.138003465886368,-0.129264917295576
view_gap,primary__prefix_stats__random_forest__train_inner,outer,inner,2,42,1000,macro_f1,0.776779550659428,0.910324840036297,-0.133545289376869,-0.144947916958079,-0.125934588081705,-0.138003465886368,-0.129264917295576
view_gap,primary__prefix_stats__xgboost__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.795862809485527,0.934605932929757,-0.138743123444231,-0.144654247179217,-0.133432247204303,-0.143406390029617,-0.134194667484614
view_gap,primary__prefix_stats__xgboost__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.795862809485527,0.934605932929757,-0.138743123444231,-0.144938134316677,-0.133453063307968,-0.143406390029617,-0.134194667484614
view_gap,primary__prefix_stats__xgboost__train_inner,outer,inner,1,82,1000,macro_f1,0.786994602065451,0.910548276993115,-0.123553674927664,-0.130693476598723,-0.116892894352377,-0.127562338400101,-0.119711424414003
view_gap,primary__prefix_stats__xgboost__train_inner,outer,inner,2,42,1000,macro_f1,0.786994602065451,0.910548276993115,-0.123553674927664,-0.131807290619191,-0.117061463580568,-0.127562338400101,-0.119711424414003
view_gap,primary__sequential_splt__cnn1d__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.957684118527932,0.961947416189538,-0.00426329766160549,-0.00586381873285302,-0.00284153878302986,-0.0058528502713548,-0.0028125122682345
view_gap,primary__sequential_splt__cnn1d__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.957684118527932,0.961947416189538,-0.00426329766160549,-0.00589854773152587,-0.00297959224359921,-0.0058528502713548,-0.0028125122682345
view_gap,primary__sequential_splt__cnn1d__train_inner,outer,inner,1,82,1000,macro_f1,0.893084112301539,0.903936051125507,-0.0108519388239672,-0.0158500940198503,-0.006757260193083,-0.0132840734603066,-0.0084072724016332
view_gap,primary__sequential_splt__cnn1d__train_inner,outer,inner,2,42,1000,macro_f1,0.893084112301539,0.903936051125507,-0.0108519388239672,-0.0175962972565633,-0.00588616368469388,-0.0132840734603066,-0.0084072724016332
view_gap,primary__sequential_splt__lstm__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.916987481185504,0.965993290214613,-0.0490058090291097,-0.0593696672284841,-0.0364809875169217,-0.052876757822168,-0.0455456941834673
view_gap,primary__sequential_splt__lstm__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.916987481185504,0.965993290214613,-0.0490058090291097,-0.0595248774163772,-0.037635409256198,-0.052876757822168,-0.0455456941834673
view_gap,primary__sequential_splt__lstm__train_inner,outer,inner,1,82,1000,macro_f1,0.834771591115339,0.910890128861341,-0.0761185377460026,-0.0898539935682452,-0.0610882150786106,-0.0807675901935845,-0.0713952396531101
view_gap,primary__sequential_splt__lstm__train_inner,outer,inner,2,42,1000,macro_f1,0.834771591115339,0.910890128861341,-0.0761185377460026,-0.0911395426152039,-0.061309450131838,-0.0807675901935845,-0.0713952396531101
view_gap,primary__sequential_splt__transformer__train_inner,outer,inner,1,82,1000,balanced_accuracy,0.929785328851206,0.961633215156462,-0.0318478863052561,-0.0364000023086107,-0.0282842650080462,-0.0349840375721063,-0.0288319162186463
view_gap,primary__sequential_splt__transformer__train_inner,outer,inner,2,42,1000,balanced_accuracy,0.929785328851206,0.961633215156462,-0.0318478863052561,-0.0365857391665299,-0.0283012276247924,-0.0349840375721063,-0.0288319162186463
view_gap,primary__sequential_splt__transformer__train_inner,outer,inner,1,82,1000,macro_f1,0.828568170314463,0.859521662240593,-0.03095349192613,-0.0379090912360052,-0.024241515858535,-0.0349272683020345,-0.0273046368527704
view_gap,primary__sequential_splt__transformer__train_inner,outer,inner,2,42,1000,macro_f1,0.828568170314463,0.859521662240593,-0.03095349192613,-0.0376881133488283,-0.0250018211106749,-0.0349272683020345,-0.0273046368527704
