physical_group_id,seed,test_domain,metric,value
cross_session__sequential_splt__transformer,44,inner,macro_f1,0.7746104530120307
cross_session__sequential_splt__transformer,44,inner,weighted_f1,0.9311303878856867
cross_session__sequential_splt__transformer,44,inner,macro_ovr_average_precision,0.863349006306866
cross_session__sequential_splt__transformer,44,outer,accuracy,0.9257692868601429
cross_session__sequential_splt__transformer,44,outer,balanced_accuracy,0.8220421496650271
cross_session__sequential_splt__transformer,44,outer,macro_f1,0.7341370690561773
cross_session__sequential_splt__transformer,44,outer,weighted_f1,0.9317835307526764
cross_session__sequential_splt__transformer,44,outer,macro_ovr_average_precision,0.8015543505649134
dann__sequential_splt__dann_cnn1d,42,inner,accuracy,0.9672884599237231
dann__sequential_splt__dann_cnn1d,42,inner,balanced_accuracy,0.961908944541346
dann__sequential_splt__dann_cnn1d,42,inner,macro_f1,0.9092865649980509
dann__sequential_splt__dann_cnn1d,42,inner,weighted_f1,0.9696145198209375
dann__sequential_splt__dann_cnn1d,42,inner,macro_ovr_average_precision,0.9720004488603599
dann__sequential_splt__dann_cnn1d,42,outer,accuracy,0.9660598989751681
dann__sequential_splt__dann_cnn1d,42,outer,balanced_accuracy,0.9606807300179415
dann__sequential_splt__dann_cnn1d,42,outer,macro_f1,0.9027290050157087
dann__sequential_splt__dann_cnn1d,42,outer,weighted_f1,0.9684626015556743
dann__sequential_splt__dann_cnn1d,42,outer,macro_ovr_average_precision,0.9700328831799874
dann__sequential_splt__dann_cnn1d,43,inner,accuracy,0.9639916740689674
dann__sequential_splt__dann_cnn1d,43,inner,balanced_accuracy,0.9592753067358781
dann__sequential_splt__dann_cnn1d,43,inner,macro_f1,0.8939290775298169
dann__sequential_splt__dann_cnn1d,43,inner,weighted_f1,0.9666604994878996
dann__sequential_splt__dann_cnn1d,43,inner,macro_ovr_average_precision,0.9657184153821283
dann__sequential_splt__dann_cnn1d,43,outer,accuracy,0.9621974447699984
dann__sequential_splt__dann_cnn1d,43,outer,balanced_accuracy,0.9573094745688957
dann__sequential_splt__dann_cnn1d,43,outer,macro_f1,0.8796358965279228
dann__sequential_splt__dann_cnn1d,43,outer,weighted_f1,0.9650583377489349
dann__sequential_splt__dann_cnn1d,43,outer,macro_ovr_average_precision,0.9619629944677639
dann__sequential_splt__dann_cnn1d,44,inner,accuracy,0.9646147931112201
dann__sequential_splt__dann_cnn1d,44,inner,balanced_accuracy,0.9567906147687253
dann__sequential_splt__dann_cnn1d,44,inner,macro_f1,0.8921718765900843
dann__sequential_splt__dann_cnn1d,44,inner,weighted_f1,0.9668718505190436
dann__sequential_splt__dann_cnn1d,44,inner,macro_ovr_average_precision,0.965021376309772
dann__sequential_splt__dann_cnn1d,44,outer,accuracy,0.9628735952201024
dann__sequential_splt__dann_cnn1d,44,outer,balanced_accuracy,0.9560550565647432
dann__sequential_splt__dann_cnn1d,44,outer,macro_f1,0.876384380279182
dann__sequential_splt__dann_cnn1d,44,outer,weighted_f1,0.9652808403255145
dann__sequential_splt__dann_cnn1d,44,outer,macro_ovr_average_precision,0.9625232033268581
primary__sequential_splt__cnn1d__train_inner,42,inner,accuracy,0.9627896288243378
primary__sequential_splt__cnn1d__train_inner,42,inner,balanced_accuracy,0.9551740810002746
primary__sequential_splt__cnn1d__train_inner,42,inner,macro_f1,0.8777845512851545
primary__sequential_splt__cnn1d__train_inner,42,inner,weighted_f1,0.9654393215442328
primary__sequential_splt__cnn1d__train_inner,42,inner,macro_ovr_average_precision,0.9587080383936686
primary__sequential_splt__cnn1d__train_inner,42,outer,accuracy,0.9613975543682413
primary__sequential_splt__cnn1d__train_inner,42,outer,balanced_accuracy,0.9506848363278353
primary__sequential_splt__cnn1d__train_inner,42,outer,macro_f1,0.8528079389278422
primary__sequential_splt__cnn1d__train_inner,42,outer,weighted_f1,0.9639890380242712
primary__sequential_splt__cnn1d__train_inner,42,outer,macro_ovr_average_precision,0.9533460735200103
primary__sequential_splt__cnn1d__train_inner,43,inner,accuracy,0.9642391539722734
primary__sequential_splt__cnn1d__train_inner,43,inner,balanced_accuracy,0.9585821878413749
primary__sequential_splt__cnn1d__train_inner,43,inner,macro_f1,0.8953830020023261
primary__sequential_splt__cnn1d__train_inner,43,inner,weighted_f1,0.9666561706395354
primary__sequential_splt__cnn1d__train_inner,43,inner,macro_ovr_average_precision,0.964228256737518
primary__sequential_splt__cnn1d__train_inner,43,outer,accuracy,0.9640005126369425
primary__sequential_splt__cnn1d__train_inner,43,outer,balanced_accuracy,0.9535756076068699
primary__sequential_splt__cnn1d__train_inner,43,outer,macro_f1,0.8745729717217009
primary__sequential_splt__cnn1d__train_inner,43,outer,weighted_f1,0.9661064411114846
primary__sequential_splt__cnn1d__train_inner,43,outer,macro_ovr_average_precision,0.9595616786949066
primary__sequential_splt__cnn1d__train_inner,44,inner,accuracy,0.9578974814500555
primary__sequential_splt__cnn1d__train_inner,44,inner,balanced_accuracy,0.944664211544496
primary__sequential_splt__cnn1d__train_inner,44,inner,macro_f1,0.8756553435253185
primary__sequential_splt__cnn1d__train_inner,44,inner,weighted_f1,0.9611776082587011
primary__sequential_splt__cnn1d__train_inner,44,inner,macro_ovr_average_precision,0.9528724185509861
primary__sequential_splt__cnn1d__train_inner,44,outer,accuracy,0.9585117619243331
primary__sequential_splt__cnn1d__train_inner,44,outer,balanced_accuracy,0.9405726453828273
primary__sequential_splt__cnn1d__train_inner,44,outer,macro_f1,0.8564955903984638
primary__sequential_splt__cnn1d__train_inner,44,outer,weighted_f1,0.9612999418607561
primary__sequential_splt__cnn1d__train_inner,44,outer,macro_ovr_average_precision,0.9474203955839927
primary__sequential_splt__cnn1d__train_outer,42,inner,accuracy,0.9625642453409698
primary__sequential_splt__cnn1d__train_outer,42,inner,balanced_accuracy,0.9565753695113551
primary__sequential_splt__cnn1d__train_outer,42,inner,macro_f1,0.8944897851894603
primary__sequential_splt__cnn1d__train_outer,42,inner,weighted_f1,0.9656609519132792
primary__sequential_splt__cnn1d__train_outer,42,inner,macro_ovr_average_precision,0.9665681108444222
primary__sequential_splt__cnn1d__train_outer,42,outer,accuracy,0.9654456185008905
primary__sequential_splt__cnn1d__train_outer,42,outer,balanced_accuracy,0.9599217532392729
primary__sequential_splt__cnn1d__train_outer,42,outer,macro_f1,0.8974341771348627
primary__sequential_splt__cnn1d__train_outer,42,outer,weighted_f1,0.9678541932814624
primary__sequential_splt__cnn1d__train_outer,42,outer,macro_ovr_average_precision,0.9679733321412847
primary__sequential_splt__cnn1d__train_outer,43,inner,accuracy,0.9573936830754681
primary__sequential_splt__cnn1d__train_outer,43,inner,balanced_accuracy,0.9497777558836992
primary__sequential_splt__cnn1d__train_outer,43,inner,macro_f1,0.8796416896017216
primary__sequential_splt__cnn1d__train_outer,43,inner,weighted_f1,0.9612804558371993
primary__sequential_splt__cnn1d__train_outer,43,inner,macro_ovr_average_precision,0.9572007678493935
primary__sequential_splt__cnn1d__train_outer,43,outer,accuracy,0.9615345521718571
primary__sequential_splt__cnn1d__train_outer,43,outer,balanced_accuracy,0.9537841968866657
primary__sequential_splt__cnn1d__train_outer,43,outer,macro_f1,0.8826864659357431
primary__sequential_splt__cnn1d__train_outer,43,outer,weighted_f1,0.9644388645766079
primary__sequential_splt__cnn1d__train_outer,43,outer,macro_ovr_average_precision,0.9597873050813958
primary__sequential_splt__cnn1d__train_outer,44,inner,accuracy,0.9629266266279537
primary__sequential_splt__cnn1d__train_outer,44,inner,balanced_accuracy,0.9592322893515807
primary__sequential_splt__cnn1d__train_outer,44,inner,macro_f1,0.9031380169677451
primary__sequential_splt__cnn1d__train_outer,44,inner,weighted_f1,0.9661753954872887
primary__sequential_splt__cnn1d__train_outer,44,inner,macro_ovr_average_precision,0.9693161671617669
primary__sequential_splt__cnn1d__train_outer,44,outer,accuracy,0.9676464219267195
primary__sequential_splt__cnn1d__train_outer,44,outer,balanced_accuracy,0.9618793935084023
primary__sequential_splt__cnn1d__train_outer,44,outer,macro_f1,0.9096762701313016
primary__sequential_splt__cnn1d__train_outer,44,outer,weighted_f1,0.9698554066621776
primary__sequential_splt__cnn1d__train_outer,44,outer,macro_ovr_average_precision,0.9709666686095323
primary__sequential_splt__lstm__train_inner,42,inner,accuracy,0.9662897017425237
primary__sequential_splt__lstm__train_inner,42,inner,balanced_accuracy,0.9652187184042705
primary__sequential_splt__lstm__train_inner,42,inner,macro_f1,0.9111320925558142
primary__sequential_splt__lstm__train_inner,42,inner,weighted_f1,0.9686568964607651
primary__sequential_splt__lstm__train_inner,42,inner,macro_ovr_average_precision,0.9730031459168819
primary__sequential_splt__lstm__train_inner,42,outer,accuracy,0.9628956916400405
primary__sequential_splt__lstm__train_inner,42,outer,balanced_accuracy,0.9148806101369925
primary__sequential_splt__lstm__train_inner,42,outer,macro_f1,0.8321232937901862
primary__sequential_splt__lstm__train_inner,42,outer,weighted_f1,0.9652220768258967
primary__sequential_splt__lstm__train_inner,42,outer,macro_ovr_average_precision,0.9308146418833191
primary__sequential_splt__lstm__train_inner,43,inner,accuracy,0.964141929724546
primary__sequential_splt__lstm__train_inner,43,inner,balanced_accuracy,0.9633725172809767
primary__sequential_splt__lstm__train_inner,43,inner,macro_f1,0.9003998619992152
primary__sequential_splt__lstm__train_inner,43,inner,weighted_f1,0.9666789076543417
primary__sequential_splt__lstm__train_inner,43,inner,macro_ovr_average_precision,0.9697828676442718
primary__sequential_splt__lstm__train_inner,43,outer,accuracy,0.9611368166129723
primary__sequential_splt__lstm__train_inner,43,outer,balanced_accuracy,0.9094846974766938
primary__sequential_splt__lstm__train_inner,43,outer,macro_f1,0.8269003416554611
primary__sequential_splt__lstm__train_inner,43,outer,weighted_f1,0.963763762462726
primary__sequential_splt__lstm__train_inner,43,outer,macro_ovr_average_precision,0.909830084408585
primary__sequential_splt__lstm__train_inner,44,inner,accuracy,0.9606153411024346
primary__sequential_splt__lstm__train_inner,44,inner,balanced_accuracy,0.9631832328881581
primary__sequential_splt__lstm__train_inner,44,inner,macro_f1,0.8996732751696968
primary__sequential_splt__lstm__train_inner,44,inner,weighted_f1,0.9638364658034799
primary__sequential_splt__lstm__train_inner,44,inner,macro_ovr_average_precision,0.9700890062880657
primary__sequential_splt__lstm__train_inner,44,outer,accuracy,0.9580919299455102
primary__sequential_splt__lstm__train_inner,44,outer,balanced_accuracy,0.9163025529496979
primary__sequential_splt__lstm__train_inner,44,outer,macro_f1,0.8245437426885777
primary__sequential_splt__lstm__train_inner,44,outer,weighted_f1,0.9612042297360917
primary__sequential_splt__lstm__train_inner,44,outer,macro_ovr_average_precision,0.9268914339163974
primary__sequential_splt__lstm__train_outer,42,inner,accuracy,0.9633464586067765
primary__sequential_splt__lstm__train_outer,42,inner,balanced_accuracy,0.9591464145555851
primary__sequential_splt__lstm__train_outer,42,inner,macro_f1,0.8973258560397758
primary__sequential_splt__lstm__train_outer,42,inner,weighted_f1,0.9660780656926835
primary__sequential_splt__lstm__train_outer,42,inner,macro_ovr_average_precision,0.9671389709063154
primary__sequential_splt__lstm__train_outer,42,outer,accuracy,0.9650699793619438
primary__sequential_splt__lstm__train_outer,42,outer,balanced_accuracy,0.9613799102683773
primary__sequential_splt__lstm__train_outer,42,outer,macro_f1,0.9043145020735321
primary__sequential_splt__lstm__train_outer,42,outer,weighted_f1,0.9675266516670961
primary__sequential_splt__lstm__train_outer,42,outer,macro_ovr_average_precision,0.9697442101422421
primary__sequential_splt__lstm__train_outer,43,inner,accuracy,0.9626747274406601
primary__sequential_splt__lstm__train_outer,43,inner,balanced_accuracy,0.9599221435925246
primary__sequential_splt__lstm__train_outer,43,inner,macro_f1,0.8923188226441398
primary__sequential_splt__lstm__train_outer,43,inner,weighted_f1,0.9653776327490047
primary__sequential_splt__lstm__train_outer,43,inner,macro_ovr_average_precision,0.9666333607047618
primary__sequential_splt__lstm__train_outer,43,outer,accuracy,0.9640712211807443
primary__sequential_splt__lstm__train_outer,43,outer,balanced_accuracy,0.9617460226165209
primary__sequential_splt__lstm__train_outer,43,outer,macro_f1,0.8971868270994391
primary__sequential_splt__lstm__train_outer,43,outer,weighted_f1,0.966608824102725
primary__sequential_splt__lstm__train_outer,43,outer,macro_ovr_average_precision,0.968265902835784
primary__sequential_splt__lstm__train_outer,44,inner,accuracy,0.9623830546974779
primary__sequential_splt__lstm__train_outer,44,inner,balanced_accuracy,0.9607451806000499
primary__sequential_splt__lstm__train_outer,44,inner,macro_f1,0.895695981068494
