physical_group_id,test_domain,metric,seed_count,mean,std,minimum,maximum
cross_session__sequential_splt__cnn1d,inner,accuracy,3,0.944216851319083,0.0042471534070219,0.940710886022247,0.948939592807173
cross_session__sequential_splt__cnn1d,inner,balanced_accuracy,3,0.89457030411948,0.0110744433971689,0.882605775759147,0.904461640106762
cross_session__sequential_splt__cnn1d,inner,macro_f1,3,0.805151395920941,0.0073239995252725,0.798403884483569,0.8129403850534
cross_session__sequential_splt__cnn1d,inner,macro_ovr_average_precision,3,0.879855719133348,0.0054602777503541,0.874527819515385,0.885439385941748
cross_session__sequential_splt__cnn1d,inner,weighted_f1,3,0.948935745437583,0.0032619213471274,0.946055146264363,0.952477649691412
cross_session__sequential_splt__cnn1d,outer,accuracy,3,0.941904092698901,0.0052058884009684,0.936402084134329,0.946752047233307
cross_session__sequential_splt__cnn1d,outer,balanced_accuracy,3,0.88838157258042,0.0133031962565211,0.873249814377999,0.898238183206084
cross_session__sequential_splt__cnn1d,outer,macro_f1,3,0.779477931378956,0.0133233543380512,0.76412986485262,0.78806815853244
cross_session__sequential_splt__cnn1d,outer,macro_ovr_average_precision,3,0.871218514782167,0.0090036930982155,0.861206618911107,0.87865097156935
cross_session__sequential_splt__cnn1d,outer,weighted_f1,3,0.946889056550693,0.0040121934050931,0.942620842567338,0.950583438506629
cross_session__sequential_splt__lstm,inner,accuracy,3,0.938147701309434,0.0055850711016802,0.933140652551474,0.944171185384544
cross_session__sequential_splt__lstm,inner,balanced_accuracy,3,0.890848327089027,0.0016369403391099,0.889140813836232,0.892404132533137
cross_session__sequential_splt__lstm,inner,macro_f1,3,0.809004161347818,0.0048903376171559,0.805682351164684,0.814619757936859
cross_session__sequential_splt__lstm,inner,macro_ovr_average_precision,3,0.869597730720941,0.0014255526901958,0.868134677970605,0.870982562506944
cross_session__sequential_splt__lstm,inner,weighted_f1,3,0.943987221283926,0.0044314818886984,0.940005363212433,0.948761428324782
cross_session__sequential_splt__lstm,outer,accuracy,3,0.932380535705605,0.0089411442483205,0.924562822331526,0.942129476182269
cross_session__sequential_splt__lstm,outer,balanced_accuracy,3,0.815464582656288,0.0195824497101679,0.798688947882901,0.83698274257902
cross_session__sequential_splt__lstm,outer,macro_f1,3,0.72617054404514,0.0214013758312098,0.712506680853,0.75083483441588
cross_session__sequential_splt__lstm,outer,macro_ovr_average_precision,3,0.793804587194928,0.0167997844011349,0.782144213591049,0.813060850173029
cross_session__sequential_splt__lstm,outer,weighted_f1,3,0.938717519672258,0.0076279461652538,0.931883062211528,0.946946526256298
cross_session__sequential_splt__transformer,inner,accuracy,3,0.883777250409889,0.034037662368961,0.858202853973599,0.922410631029561
cross_session__sequential_splt__transformer,inner,balanced_accuracy,3,0.851832863096241,0.0307244081399271,0.829192113482116,0.886807763859909
cross_session__sequential_splt__transformer,inner,macro_f1,3,0.684967197432696,0.0780578937639339,0.632015389711741,0.774610453012031
cross_session__sequential_splt__transformer,inner,macro_ovr_average_precision,3,0.798930766876133,0.0559478244879851,0.762493540442397,0.863349006306866
cross_session__sequential_splt__transformer,inner,weighted_f1,3,0.900148324728372,0.0270359707412695,0.881336519774444,0.931130387885687
cross_session__sequential_splt__transformer,outer,accuracy,3,0.898817546914382,0.0234057468300835,0.883600479050384,0.925769286860143
cross_session__sequential_splt__transformer,outer,balanced_accuracy,3,0.801873504473062,0.0213497425529421,0.779511933797099,0.822042149665027
cross_session__sequential_splt__transformer,outer,macro_f1,3,0.666450927267867,0.0592406482436302,0.624040822949876,0.734137069056177
cross_session__sequential_splt__transformer,outer,macro_ovr_average_precision,3,0.74547127548636,0.0496810108707846,0.706978931354143,0.801554350564913
cross_session__sequential_splt__transformer,outer,weighted_f1,3,0.910092078937146,0.0189077370641244,0.89709851470051,0.931783530752676
dann__sequential_splt__dann_cnn1d,inner,accuracy,3,0.965298309034637,0.0017514550397319,0.963991674068967,0.967288459923723
dann__sequential_splt__dann_cnn1d,inner,balanced_accuracy,3,0.95932495534865,0.0025595260604038,0.956790614768725,0.961908944541346
dann__sequential_splt__dann_cnn1d,inner,macro_f1,3,0.898462506372651,0.0094149945634729,0.892171876590084,0.909286564998051
dann__sequential_splt__dann_cnn1d,inner,macro_ovr_average_precision,3,0.967580080184087,0.0038439836488634,0.965021376309772,0.97200044886036
dann__sequential_splt__dann_cnn1d,inner,weighted_f1,3,0.96771562327596,0.001647884516884,0.9666604994879,0.969614519820938
dann__sequential_splt__dann_cnn1d,outer,accuracy,3,0.963710312988423,0.0020626949822079,0.962197444769998,0.966059898975168
dann__sequential_splt__dann_cnn1d,outer,balanced_accuracy,3,0.958015087050527,0.002392202009568,0.956055056564743,0.960680730017942
dann__sequential_splt__dann_cnn1d,outer,macro_f1,3,0.886249760607604,0.0143637464359227,0.876384380279182,0.902729005015709
dann__sequential_splt__dann_cnn1d,outer,macro_ovr_average_precision,3,0.964839693658203,0.0045061481942263,0.961962994467764,0.970032883179987
dann__sequential_splt__dann_cnn1d,outer,weighted_f1,3,0.966267259876708,0.0019044738550847,0.965058337748935,0.968462601555674
primary__sequential_splt__cnn1d__train_inner,inner,accuracy,3,0.961642088082222,0.0033229264076826,0.957897481450056,0.964239153972273
primary__sequential_splt__cnn1d__train_inner,inner,balanced_accuracy,3,0.952806826795382,0.0072546836873194,0.944664211544496,0.958582187841375
primary__sequential_splt__cnn1d__train_inner,inner,macro_f1,3,0.882940965604266,0.0108275843898405,0.875655343525318,0.895383002002326
primary__sequential_splt__cnn1d__train_inner,inner,macro_ovr_average_precision,3,0.958602904560724,0.0056786490534101,0.952872418550986,0.964228256737518
primary__sequential_splt__cnn1d__train_inner,inner,weighted_f1,3,0.964424366814156,0.0028768491910858,0.961177608258701,0.966656170639535
primary__sequential_splt__cnn1d__train_inner,outer,accuracy,3,0.961303276309839,0.0027455896198293,0.958511761924333,0.964000512636942
primary__sequential_splt__cnn1d__train_inner,outer,balanced_accuracy,3,0.948277696439178,0.0068275177394603,0.940572645382827,0.95357560760687
primary__sequential_splt__cnn1d__train_inner,outer,macro_f1,3,0.861292167016002,0.0116483699960713,0.852807938927842,0.874572971721701
primary__sequential_splt__cnn1d__train_inner,outer,macro_ovr_average_precision,3,0.95344271593297,0.0060712184701119,0.947420395583993,0.959561678694907
primary__sequential_splt__cnn1d__train_inner,outer,weighted_f1,3,0.963798473665504,0.002408909471719,0.961299941860756,0.966106441111485
primary__sequential_splt__cnn1d__train_outer,inner,accuracy,3,0.96096151834813,0.0030951440110162,0.957393683075468,0.962926626627954
primary__sequential_splt__cnn1d__train_outer,inner,balanced_accuracy,3,0.955195138248878,0.004876046505855,0.949777755883699,0.959232289351581
primary__sequential_splt__cnn1d__train_outer,inner,macro_f1,3,0.892423163919642,0.0118837091233117,0.879641689601722,0.903138016967745
primary__sequential_splt__cnn1d__train_outer,inner,macro_ovr_average_precision,3,0.964361681951861,0.0063519265949798,0.957200767849394,0.969316167161767
primary__sequential_splt__cnn1d__train_outer,inner,weighted_f1,3,0.964372267745922,0.0026899142564217,0.961280455837199,0.966175395487289
primary__sequential_splt__cnn1d__train_outer,outer,accuracy,3,0.964875530866489,0.0030955593853572,0.961534552171857,0.96764642192672
primary__sequential_splt__cnn1d__train_outer,outer,balanced_accuracy,3,0.958528447878114,0.0042236272276587,0.953784196886666,0.961879393508402
primary__sequential_splt__cnn1d__train_outer,outer,macro_f1,3,0.896598971067302,0.0135142724373202,0.882686465935743,0.909676270131302
primary__sequential_splt__cnn1d__train_outer,outer,macro_ovr_average_precision,3,0.966242435277404,0.005787188020844,0.959787305081396,0.970966668609532
primary__sequential_splt__cnn1d__train_outer,outer,weighted_f1,3,0.967382821506749,0.0027388639166055,0.964438864576608,0.969855406662178
primary__sequential_splt__lstm__train_inner,inner,accuracy,3,0.963682324189835,0.0028649642413302,0.960615341102435,0.966289701742524
primary__sequential_splt__lstm__train_inner,inner,balanced_accuracy,3,0.963924822857802,0.0011245360862239,0.963183232888158,0.96521871840427
primary__sequential_splt__lstm__train_inner,inner,macro_f1,3,0.903735076574909,0.0064162969204623,0.899673275169697,0.911132092555814
primary__sequential_splt__lstm__train_inner,inner,macro_ovr_average_precision,3,0.97095833994974,0.0017774571161496,0.969782867644272,0.973003145916882
primary__sequential_splt__lstm__train_inner,inner,weighted_f1,3,0.966390756639529,0.0024230994997991,0.96383646580348,0.968656896460765
primary__sequential_splt__lstm__train_inner,outer,accuracy,3,0.960708146066174,0.0024304012904721,0.95809192994551,0.96289569164004
primary__sequential_splt__lstm__train_inner,outer,balanced_accuracy,3,0.913555953521128,0.0035967797646169,0.909484697476694,0.916302552949698
primary__sequential_splt__lstm__train_inner,outer,macro_f1,3,0.827855792711408,0.0038790544937789,0.824543742688578,0.832123293790186
primary__sequential_splt__lstm__train_inner,outer,macro_ovr_average_precision,3,0.922512053402767,0.0111567084467138,0.909830084408585,0.930814641883319
primary__sequential_splt__lstm__train_inner,outer,weighted_f1,3,0.963396689674905,0.0020339200163557,0.961204229736092,0.965222076825897
primary__sequential_splt__lstm__train_outer,inner,accuracy,3,0.962801413581638,0.0004940382645604,0.962383054697478,0.963346458606776
primary__sequential_splt__lstm__train_outer,inner,balanced_accuracy,3,0.959937912916053,0.0007994996684844,0.959146414555585,0.96074518060005
primary__sequential_splt__lstm__train_outer,inner,macro_f1,3,0.895113553250803,0.0025538231102346,0.89231882264414,0.897325856039776
primary__sequential_splt__lstm__train_outer,inner,macro_ovr_average_precision,3,0.966934918336791,0.0002665348886907,0.966633360704762,0.967138970906315
primary__sequential_splt__lstm__train_outer,inner,weighted_f1,3,0.965553203869188,0.0004627683801994,0.965203913165877,0.966078065692684
primary__sequential_splt__lstm__train_outer,outer,accuracy,3,0.964368786302577,0.0006095622282403,0.963965158365042,0.965069979361944
primary__sequential_splt__lstm__train_outer,outer,balanced_accuracy,3,0.961939693622946,0.0006777017547869,0.961379910268377,0.96269314798394
primary__sequential_splt__lstm__train_outer,outer,macro_f1,3,0.901360060274668,0.003716857133171,0.897186827099439,0.904314502073532
primary__sequential_splt__lstm__train_outer,outer,macro_ovr_average_precision,3,0.968818745011876,0.0008065258970555,0.968265902835784,0.969744210142242
primary__sequential_splt__lstm__train_outer,outer,weighted_f1,3,0.966893840639898,0.0005489286064223,0.966546046149872,0.967526651667096
primary__sequential_splt__transformer__train_inner,inner,accuracy,3,0.932899065026818,0.0090070865883334,0.92289233298421,0.940357343303238
primary__sequential_splt__transformer__train_inner,inner,balanced_accuracy,3,0.948842154368757,0.0101793883226892,0.938512987144806,0.958864842031578
primary__sequential_splt__transformer__train_inner,inner,macro_f1,3,0.823475883457778,0.0320939935039521,0.790759033940181,0.854908466145426
primary__sequential_splt__transformer__train_inner,inner,macro_ovr_average_precision,3,0.938056912811399,0.0172182906053366,0.919605988861225,0.953696584434486
primary__sequential_splt__transformer__train_inner,inner,weighted_f1,3,0.940485625209675,0.0073730080382094,0.932403337802386,0.94684381881157
primary__sequential_splt__transformer__train_inner,outer,accuracy,3,0.937942941151341,0.0113657947291118,0.925919542515722,0.948510922260375
primary__sequential_splt__transformer__train_inner,outer,balanced_accuracy,3,0.904595535596961,0.0234162670169615,0.880244992997649,0.926949700124712
primary__sequential_splt__transformer__train_inner,outer,macro_f1,3,0.785250963629732,0.0360524230268258,0.747603557091675,0.819462382512974
primary__sequential_splt__transformer__train_inner,outer,macro_ovr_average_precision,3,0.900197889254235,0.0272890380961485,0.871076429362183,0.925182007830153
primary__sequential_splt__transformer__train_inner,outer,weighted_f1,3,0.943431997787081,0.0094708900632798,0.933484150328026,0.952340131321545
primary__sequential_splt__transformer__train_outer,inner,accuracy,3,0.912618970807683,0.0039474926966656,0.908251245133264,0.915931960703727
primary__sequential_splt__transformer__train_outer,inner,balanced_accuracy,3,0.933632197332087,0.009209907454794,0.923073072977467,0.940007690608336
primary__sequential_splt__transformer__train_outer,inner,macro_f1,3,0.772124866278078,0.0099712842253551,0.760944239382515,0.780096711957316
primary__sequential_splt__transformer__train_outer,inner,macro_ovr_average_precision,3,0.91862118418415,0.012805291259789,0.904049031096948,0.928078608247238
primary__sequential_splt__transformer__train_outer,inner,weighted_f1,3,0.925771579624436,0.0024953132489203,0.923029515642613,0.927909033202942
primary__sequential_splt__transformer__train_outer,outer,accuracy,3,0.936273924898688,0.0009673185772611,0.935341455977303,0.937272683079887
primary__sequential_splt__transformer__train_outer,outer,balanced_accuracy,3,0.94757371527456,0.0082714561471323,0.938760763789153,0.955168592086895
primary__sequential_splt__transformer__train_outer,outer,macro_f1,3,0.825692264594927,0.0114529579660269,0.816105022469544,0.838374728252926
